nome_completo,idade,data,frequencia,cardio_minutos,cardio_distancia,cardio_velocidade,cardio_rpm,musculacao_peso,musculacao_repeticoes,musculacao_series
David Hughes,58,2024-08-12,2,37,3.96,9.12,64.1,89,9,5
David Hughes,58,2024-08-12,2,21,2.75,9.86,84.08,91,11,5
David Hughes,58,2024-08-13,2,48,6.71,14.48,60.26,40,14,4
David Hughes,58,2024-08-14,2,29,3.72,14.11,64.09,68,9,4
David Hughes,58,2024-08-14,2,58,4.12,8.35,78.38,35,14,2
David Hughes,58,2024-08-16,2,38,8.64,12.95,94.47,93,11,2
Jimmy Levy,20,2024-08-14,3,25,8.84,14.93,75.21,78,13,3
Jimmy Levy,20,2024-08-14,3,42,3.68,10.14,97.47,29,10,3
Jimmy Levy,20,2024-08-13,3,49,5.04,15.92,85.6,91,11,4
Jimmy Levy,20,2024-08-12,3,34,8.57,14.44,76.05,28,11,4
Jimmy Levy,20,2024-08-13,3,51,5.17,15.32,78.35,53,10,3
Jimmy Levy,20,2024-08-16,3,54,4.1,12.68,95.91,71,13,3
Jimmy Levy,20,2024-08-13,3,52,5.95,14.05,94.44,39,10,5
Jimmy Levy,20,2024-08-16,3,24,5.08,12.77,78.72,52,8,2
Jimmy Levy,20,2024-08-16,3,37,8.15,10.72,71.74,40,15,2
Alexander Collins,34,2024-08-16,3,26,8.96,10.39,85.56,97,11,3
Alexander Collins,34,2024-08-14,3,30,6.32,14.23,81.21,20,13,5
Alexander Collins,34,2024-08-12,3,27,9.43,15.03,93.27,59,11,2
Alexander Collins,34,2024-08-13,3,56,9.58,8.69,79.44,28,10,3
Alexander Collins,34,2024-08-15,3,55,3.32,12.22,84.26,47,11,4
Alexander Collins,34,2024-08-15,3,43,5.5,12.14,64.84,48,9,4
Alexander Collins,34,2024-08-12,3,57,6.43,12.71,60.29,100,8,3
Alexander Collins,34,2024-08-12,3,22,8.88,8.57,69.52,82,11,3
Alexander Collins,34,2024-08-16,3,56,5.78,14.28,92.3,44,9,2
Kenneth Williams,60,2024-08-14,5,47,5.29,14.91,62.17,32,8,5
Kenneth Williams,60,2024-08-14,5,26,3.99,9.52,77.94,74,10,4
Kenneth Williams,60,2024-08-15,5,35,9.0,8.6,92.32,90,9,2
Kenneth Williams,60,2024-08-16,5,20,9.75,15.41,93.95,41,14,5
Kenneth Williams,60,2024-08-15,5,33,8.92,15.22,66.59,20,14,4
Kenneth Williams,60,2024-08-15,5,38,5.38,15.66,99.82,91,15,3
Kenneth Williams,60,2024-08-13,5,38,3.74,8.47,89.43,27,13,2
Kenneth Williams,60,2024-08-12,5,57,5.81,15.36,81.25,27,9,3
Kenneth Williams,60,2024-08-12,5,58,2.54,14.89,76.15,92,11,2
Kenneth Williams,60,2024-08-16,5,25,5.35,12.67,80.91,53,11,4
Kenneth Williams,60,2024-08-13,5,36,5.17,13.37,72.0,60,9,2
Kenneth Williams,60,2024-08-15,5,59,9.99,15.97,62.93,47,12,3
Kenneth Williams,60,2024-08-14,5,24,9.03,10.96,66.31,89,12,2
Kenneth Williams,60,2024-08-16,5,39,9.45,8.83,95.13,53,9,2
Kenneth Williams,60,2024-08-16,5,29,4.18,12.84,88.7,46,12,5
Deborah Gray,34,2024-08-12,2,60,5.39,10.21,60.14,36,12,3
Deborah Gray,34,2024-08-15,2,55,7.65,12.49,64.47,39,8,4
Deborah Gray,34,2024-08-16,2,55,3.18,9.02,72.33,25,13,3
Deborah Gray,34,2024-08-13,2,26,4.83,12.48,94.99,99,10,3
Deborah Gray,34,2024-08-13,2,31,9.05,8.2,89.46,62,14,3
Deborah Gray,34,2024-08-14,2,30,8.3,8.86,94.89,80,11,3
Victoria Gates,47,2024-08-14,4,34,3.78,13.28,75.94,55,9,4
Victoria Gates,47,2024-08-14,4,52,5.2,15.85,81.45,23,9,4
Victoria Gates,47,2024-08-13,4,57,9.7,10.12,64.34,75,13,4
Victoria Gates,47,2024-08-15,4,58,9.87,8.93,95.98,44,12,2
Victoria Gates,47,2024-08-15,4,20,6.16,14.45,87.47,45,13,5
Victoria Gates,47,2024-08-12,4,41,6.99,13.31,64.99,58,12,5
Victoria Gates,47,2024-08-14,4,45,7.58,12.44,67.67,68,10,4
Victoria Gates,47,2024-08-15,4,55,8.67,10.43,68.41,94,13,5
Victoria Gates,47,2024-08-15,4,48,7.41,12.09,91.75,41,9,4
Victoria Gates,47,2024-08-16,4,60,6.95,8.75,98.08,50,12,3
Victoria Gates,47,2024-08-13,4,29,2.2,9.96,79.01,29,15,5
Victoria Gates,47,2024-08-16,4,32,7.75,11.07,75.99,38,8,2
Eddie Choi,45,2024-08-13,3,53,5.72,12.46,96.7,35,15,3
Eddie Choi,45,2024-08-15,3,53,9.9,12.76,98.0,76,14,5
Eddie Choi,45,2024-08-13,3,50,5.6,14.01,93.59,55,15,3
Eddie Choi,45,2024-08-14,3,48,2.62,10.29,70.87,60,9,3
Eddie Choi,45,2024-08-13,3,34,5.06,9.22,68.56,73,14,4
Eddie Choi,45,2024-08-16,3,49,5.33,9.65,76.81,94,8,5
Eddie Choi,45,2024-08-15,3,20,9.54,10.39,75.6,73,11,5
Eddie Choi,45,2024-08-13,3,37,5.49,8.23,73.45,71,10,5
Eddie Choi,45,2024-08-13,3,59,6.27,15.26,83.68,23,9,5
Alyssa Waters,26,2024-08-13,5,23,4.08,10.62,78.19,63,14,4
Alyssa Waters,26,2024-08-15,5,36,8.68,11.76,89.96,26,13,3
Alyssa Waters,26,2024-08-12,5,22,8.03,15.6,67.97,22,10,3
Alyssa Waters,26,2024-08-13,5,50,7.36,12.51,68.72,52,13,3
Alyssa Waters,26,2024-08-16,5,58,9.71,13.75,91.11,40,12,2
Alyssa Waters,26,2024-08-16,5,21,9.43,12.61,96.32,68,14,3
Alyssa Waters,26,2024-08-12,5,57,7.52,13.02,64.08,58,9,2
Alyssa Waters,26,2024-08-14,5,54,5.43,10.96,80.24,63,8,5
Alyssa Waters,26,2024-08-15,5,26,5.47,10.9,95.66,78,10,5
Alyssa Waters,26,2024-08-13,5,53,9.72,10.16,92.33,88,15,5
Alyssa Waters,26,2024-08-15,5,57,4.15,14.81,93.23,31,12,5
Alyssa Waters,26,2024-08-13,5,49,6.56,13.35,73.46,83,13,3
Alyssa Waters,26,2024-08-15,5,33,4.84,10.07,71.19,96,12,2
Alyssa Waters,26,2024-08-16,5,32,2.68,13.76,79.54,50,15,5
Alyssa Waters,26,2024-08-15,5,21,2.74,9.77,87.67,59,13,5
Julia Kelly,53,2024-08-15,4,55,4.65,13.62,70.84,52,11,2
Julia Kelly,53,2024-08-13,4,40,2.96,12.29,90.49,43,11,3
Julia Kelly,53,2024-08-15,4,37,7.8,15.81,80.99,56,9,3
Julia Kelly,53,2024-08-14,4,34,4.89,10.42,88.32,36,12,2
Julia Kelly,53,2024-08-12,4,55,4.34,15.55,85.51,82,9,2
Julia Kelly,53,2024-08-16,4,38,5.76,11.52,67.37,26,12,5
Julia Kelly,53,2024-08-12,4,24,5.21,8.59,85.18,26,10,3
